Gene,ERR2593198.bam,ERR3374021.bam,SRR10572661.bam,SRR16796949.bam,SRR3401747.bam,SRR3401748.bam,SRR3401749.bam,SRR3401750.bam,ERR4184070.bam,ERR4184071.bam,ERR4184072.bam,ERR4184073.bam,SRR3161766.bam,SRR3161767.bam,SRR3161768.bam,SRR3161769.bam,SRR12774953.bam,RCB003.Brain.bam,RCS001.Spleen.bam,SRR12774963.bam
Il1r1_1,2217,1842,3409,3304,1342,1339,1411,1548,3148,2398,6699,7678,2589,1886,1949,2441,825,201,1090,724
Il1r2_1,15,3,3,1,21,3,3,10,0,0,0,1,0,0,1,1,14,12,15,20
Map4k4_1,4797,6832,13954,7542,4971,4223,3053,2863,8481,6471,5176,5764,6424,5052,4866,5700,1508,3411,2130,1894
LOC113832240_1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,3,0,0,1
LOC100761352_1,4,2,3,9,0,3,2,5,14,4,5,9,4,0,1,0,16,9,5,5
Creg2_1,0,0,1,0,0,0,1,3,1,2,0,5,0,0,0,0,0,344,1,4
Rnf149_1,3753,3025,3781,4589,1259,1482,1382,1658,4002,3074,2673,3102,1293,947,1007,1162,486,767,559,557
Cnot11_1,1534,1700,1769,1831,710,491,703,684,2594,2039,1640,1644,513,430,442,423,179,257,526,239
Tbc1d8_1,258,118,1478,239,139,139,304,354,411,273,327,355,122,83,122,106,489,448,633,597
Rpl31_1,15887,21953,45532,27596,12525,12841,18036,20962,15150,11657,8484,8878,6163,5559,6475,6219,2222,3028,14321,6297
Npas2_1,1,0,8,1,332,415,70,75,4,0,0,1,447,368,370,401,375,608,211,299
Pdcl3_1,1152,1532,2390,2365,928,907,1335,1723,2012,1560,1319,1640,1441,1192,1144,1310,336,633,871,363
Nms_1,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,5,0,0
Chst10_1,0,0,6,12,1,0,7,3,10,4,1,4,0,1,0,0,138,1220,311,283
Lonrf2_1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,7,760,1,3
Aff3_1,0,0,5,2,2,6,11,14,0,0,1,0,0,0,0,0,353,424,398,1865
Rev1_1,1065,807,4446,991,768,506,600,663,2551,2010,1831,2160,1163,823,754,996,614,916,1348,1007
Eif5b_1,2244,11882,5948,1998,3765,2705,4479,4415,12984,9838,9682,10631,3948,2648,3012,3044,544,1518,3435,895
Txndc9_1,2205,1993,4846,4494,1085,982,1365,1540,2762,2108,2145,2270,1589,1074,1080,1345,423,959,1364,537
Lyg1_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyg2_1,48,5,36,21,12,13,58,37,98,67,52,68,1,3,9,2,14,43,40,39
Mrpl30_1,2649,2516,5232,5950,957,654,1007,868,3331,2592,2150,2425,1134,964,769,946,203,442,831,375
Mitd1_1,359,450,673,788,272,320,605,585,864,597,709,724,399,327,333,368,109,117,311,123
Lipt1_1,155,85,82,107,57,46,84,89,102,85,113,140,32,39,26,32,20,34,46,22
CUNH2orf15_1,27,22,89,74,16,12,40,40,49,30,90,106,14,10,12,16,23,17,6,2
Tsga10_1,461,143,518,412,118,114,286,233,378,289,896,951,241,147,155,183,175,226,90,51
Kiaa1211l_1,11,7,134,42,13,6,12,10,22,25,17,13,0,0,1,0,587,2578,194,135
Mgat4a_1,23,18,38,29,66,70,106,124,104,68,147,135,58,40,38,32,236,294,200,388
Unc50_1,930,738,2155,2300,550,548,945,963,1612,1217,1512,1598,399,344,332,369,419,1199,910,927
LOC100766959_1,3198,775,9299,10559,521,418,652,569,7700,5580,4993,5438,1230,864,923,949,1077,854,405,1722
Inpp4a_1,786,626,2502,1405,871,768,1626,1694,2896,2165,4235,4716,874,871,725,825,1147,4206,764,1413
Cnga3_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0,0
Vwa3b_1,0,1,13,2,5,7,3,2,4,2,2,3,0,0,0,0,289,60,12,4
Tmem131_1,541,1879,2116,333,1077,775,1429,1673,4853,3861,2866,3229,1263,1015,1012,1275,1042,1830,3839,2412
LOC100767740_1,0,0,0,0,0,0,1,1,1,0,4,2,0,0,0,0,19,22,651,391
Actr1b_1,593,494,1037,855,281,180,271,198,924,747,628,726,242,287,236,272,357,1990,280,280
LOC100768321_1,4583,3948,8291,9154,2402,1947,2616,2499,2876,2255,1684,1798,727,903,887,854,684,3852,3611,428
Fam178b_1,14,9,8,3,6,13,10,10,13,10,14,12,62,59,62,61,10,1,5,4
Sema4c_1,503,829,1081,638,715,476,497,546,2452,2038,1563,1703,2939,3478,2965,4143,581,305,663,341
Ankrd39_1,80,67,257,196,41,31,47,29,136,67,68,49,43,47,37,35,52,64,48,33
Ankrd23_1,158,140,673,224,94,46,119,101,299,239,240,232,130,153,127,138,185,187,193,193
Cnnm3_1,1071,927,1087,1218,502,299,354,347,2416,1883,1810,1848,736,621,605,662,507,511,532,335
Cnnm4_1,570,406,1003,572,175,191,643,590,1470,1281,752,796,444,377,335,386,127,144,135,152
Lman2l_1,414,892,672,809,497,579,594,555,691,484,637,745,450,404,401,434,294,395,231,181
Fer1l5_1,99,112,287,144,64,81,136,146,272,159,283,306,184,143,118,155,196,104,76,258
Kansl3_1,751,1086,3167,1696,1472,1010,1239,1219,1733,1415,1416,1583,1433,1275,1072,1359,1178,1929,1903,1138
Arid5a_1,360,307,1135,772,306,459,572,535,464,361,166,168,98,116,93,157,146,394,432,357
Neurl3_1,696,691,1810,2814,857,1211,379,244,770,578,920,928,151,220,209,244,29,3,378,290
Uggt1_1,8037,4736,13291,6206,2919,2424,2975,3194,7217,5634,5980,6673,5272,3774,3465,4518,1722,1073,1784,2850
LOC107979073_1,6,4,11,3940,1,0,0,1,736,561,450,501,3,1,0,1,7,0,2,15
Hs6st1_1,670,813,927,1073,650,696,1518,1350,1179,971,972,1044,546,562,544,596,432,1211,786,393
Plekhb2_1,2873,3470,12928,7700,3158,4134,2995,3300,4925,3589,5939,6527,5891,4884,4498,5615,1241,4801,995,1303
Fam168b_1,3344,2530,6701,7692,3318,2179,2522,2971,5392,4132,2690,2823,3308,2536,2424,2890,2080,4454,3864,2023
Arhgef4_1,154,162,673,592,288,276,124,156,195,116,220,242,403,467,378,509,408,4594,62,80
Amer3_1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,525,0,0
LOC100750943_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100756508_1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0
LOC100774986_1,2,1,11,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
Ptpn18_1,77,74,135,38,33,30,174,163,38,22,46,38,1,1,0,0,298,40,1281,889
Imp4_1,1849,1884,3143,3136,1289,849,974,847,1223,1003,792,885,384,689,587,554,241,415,629,169
Ccdc115_1,867,856,2656,2605,691,497,714,630,810,593,530,618,370,356,341,354,239,322,504,159
Dst_1,8473,2935,35604,6394,6319,5690,3094,3816,15450,12018,16227,18860,14776,10942,5873,14899,8263,11609,1555,5444
Bend6_1,284,354,634,1039,583,578,440,644,412,315,409,418,1059,753,767,977,10,2336,30,13
LOC100750506_1,1038,1088,3234,2193,889,684,763,848,2711,2025,1620,1756,1015,764,676,806,1046,791,624,1327
Bag2_1,78,39,242,1217,142,176,88,94,836,563,520,602,26,22,30,29,25,33,48,12
LOC113832242,0,0,0,24,0,0,0,1,95,92,103,100,0,1,1,0,0,0,0,0
LOC100770484_1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC107977341_1,0,0,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100769505_1,937,725,6811,3533,553,251,256,289,5150,3978,2970,3178,199,172,173,175,901,1966,144,107
Stim2_1,1408,1271,3906,2919,798,719,916,950,5643,4335,7634,8570,1320,1067,1173,1179,445,1066,757,875
Tbc1d19_1,1408,1036,1950,2429,501,423,633,521,2426,1974,1297,1434,591,502,475,542,231,328,108,131
LOC100774337_1,9,12,58,8726,18,44,18,15,5356,4177,4831,5310,13,9,5,7,66,46,153,295
Cckar_1,24,30,68,58,18,13,6,21,60,52,2,5,0,0,0,1,2,34,0,19
Rbpj_1,1758,3110,3443,1762,1677,1967,1137,1116,11181,8886,10075,10946,7661,5595,5138,6027,1194,490,806,1012
Smim20_1,700,615,1719,2563,434,356,326,280,1318,1043,1044,1075,489,475,439,457,178,227,534,184
Sel1l3_1,2074,1562,3162,2823,1936,1684,917,1193,6066,4708,5690,6292,2649,2063,1869,2429,261,1331,491,752
Slc34a2_1,0,0,6,0,9,12,21,63,5,0,0,1,0,0,1,1,1356,9,1,3
Anapc4_1,2613,1988,5588,3671,975,677,1359,1632,2817,2219,2395,2565,1269,992,908,960,830,1023,1403,1136
Zcchc4_1,438,373,989,773,375,301,195,214,1039,772,1033,1196,571,430,383,509,137,114,326,275
Pi4k2b_1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,166,41,679,174
Sepsecs_1,487,366,1889,1244,201,229,244,306,488,379,754,795,244,153,189,223,131,93,155,207
Lgi2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,265,12,3
Ccdc149_1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,133,539,63,86
Sod3_1,0,1,0,0,0,6,10,13,0,0,2,4,0,0,0,0,587,147,652,151
Dhx15_1,8825,5101,8360,9103,3668,2413,2047,1772,10827,8272,6377,6776,3003,2433,2327,2473,1463,1411,4088,2951
Ppargc1a_1,0,0,0,1,11,38,27,74,1,0,0,2,0,0,0,0,138,1446,17,9
LOC100757820_1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0
Adgra3_1,534,362,587,394,581,394,544,653,1243,905,672,874,487,389,373,424,579,570,265,203
LOC113832247,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,41,0,0
LOC100755926_1,2,4,7,10,6,9,8,29,6,9,5,12,1,2,2,1,12,1063,7,8
Pacrgl_1,11,84,60,44,42,40,48,72,112,94,118,120,63,50,46,55,50,69,74,46
LOC100752994_4,0,0,5,3,28,31,10,13,0,0,1,1,8,8,3,7,306,775,20,33
Lcorl_1,834,338,1291,933,500,342,253,396,1490,1165,1604,1826,653,510,404,516,325,121,188,481
Ncapg_1,2995,1408,2932,3847,1214,613,633,380,7917,5779,3939,4374,1601,1320,1287,1141,176,56,2117,290
Dcaf16_1,1,0,2,0,0,1,2,0,7,3,4,3,0,1,0,0,2,0,0,0
Fam184b_1,9,2,24,4,2,6,2,6,21,8,24,27,3,1,1,3,121,373,31,33
Med28_1,2688,2227,5465,8680,2094,2037,1873,1977,4711,3698,4715,5002,1931,1689,1566,1673,566,832,933,738
Lap3_1,4274,3598,4495,4842,2272,2234,3506,2795,6277,4946,3840,3884,2138,1701,1605,1929,853,664,1346,673
Clrn2_1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
Qdpr_1,1292,1434,3832,5437,627,468,815,440,1496,1201,1192,1311,535,559,472,515,311,1762,691,296
Ldb2_2,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,176,676,327,185
Tapt1_1,918,740,1560,1555,481,400,439,452,1535,1172,732,815,639,502,493,546,394,856,1356,654
Prom1_1,0,0,0,0,2,0,5,0,1,0,0,0,0,0,0,0,3525,317,77,86
Fgfbp1_1,0,0,5,4,0,2,4,2,3,1,0,4,0,0,0,0,5,8,9,4
LOC100772896_1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,2,13,84
Cd38_1,1,0,3,6,72,200,163,167,0,0,2,0,0,0,0,0,38,256,772,766
Bst1_1,0,1,0,0,2,0,0,2,0,1,0,0,0,0,0,0,40,16,84,40
Fbxl5_1,1170,707,2153,2544,828,877,818,1076,1726,1277,2086,2238,1063,824,796,968,815,1088,728,1030
Cc2d2a_1,792,846,1858,574,896,435,233,207,1861,1540,903,938,789,680,583,727,809,618,66,177
LOC113832271_1,0,0,1,0,0,0,1,1,0,3,3,2,0,0,0,0,208,13,15,25
Cpeb2_1,137,260,972,280,345,264,315,285,1495,1104,946,1085,392,237,248,283,381,825,349,557
Bod1l1_1,1934,3532,6460,1964,1962,1426,2159,2228,7921,5861,7333,8693,2732,1905,1503,2072,1591,2509,2099,1921
Nkx3-2_1,0,0,1,0,1,0,3,2,0,1,1,0,0,0,0,0,8,0,131,55
Rab28_1,895,1223,1838,2777,1193,1238,1236,1317,1452,1178,1376,1448,1151,931,930,966,253,666,301,228
Hs3st1_1,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,183,488,158,83
Clnk_1,1,0,31,1,2,1,5,14,1,0,7,1,0,0,0,0,28,6,45,172
Znf518b_1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,231,155,169,271
LOC100770228_1,10,5,13,2208,2,1,1,2,1163,787,1512,1596,0,2,0,1,4,2,1,0
LOC113832273,154,46,359,2510,54,34,100,42,2885,1385,1487,1664,25,39,36,23,417,5,23,132
LOC113832249,0,0,0,3969,0,0,0,0,4371,2507,2450,2780,0,0,0,0,0,0,0,0
